# N_v = 30, N_col = 250000
# time	 M_xx	 M_yy	 M_zz
3.34	2.80585	2.05058	2.05064
3.36	2.80096	2.053	2.05312
3.38	2.79617	2.0554	2.0555
3.4	2.79142	2.05779	2.05786
3.42	2.78668	2.06019	2.0602
3.44	2.782	2.06253	2.06254
3.46	2.7774	2.06485	2.06483
3.48	2.77286	2.06713	2.06707
3.5	2.76836	2.0694	2.06931
3.52	2.76388	2.07162	2.07157
3.54	2.75943	2.07384	2.07381
3.56	2.75507	2.07604	2.07596
3.58	2.75072	2.07819	2.07816
3.6	2.74641	2.08032	2.08034
3.62	2.74213	2.08247	2.08247
3.64	2.73789	2.0846	2.08458
3.66	2.73371	2.08667	2.08669
3.68	2.7296	2.08872	2.08875
3.7	2.72547	2.09078	2.09082
3.72	2.72139	2.09281	2.09287
3.74	2.71734	2.09486	2.09488
3.76	2.71335	2.09684	2.09688
3.78	2.70942	2.09881	2.09885
3.8	2.70548	2.10075	2.10084
3.82	2.70163	2.10268	2.10276
3.84	2.69785	2.1046	2.10462
3.86	2.69409	2.10647	2.10651
3.88	2.69033	2.10832	2.10843
3.9	2.68661	2.11018	2.11029
3.92	2.68293	2.11202	2.11213
3.94	2.67929	2.11385	2.11393
3.96	2.67568	2.11566	2.11573
3.98	2.67212	2.11744	2.11751
4	2.6686	2.11919	2.11928
4.02	2.66508	2.12094	2.12105
4.04	2.6616	2.12269	2.12279
4.06	2.65821	2.12439	2.12447
4.08	2.65478	2.12611	2.12617
4.1	2.65138	2.12782	2.12787
4.12	2.64805	2.12949	2.12953
4.14	2.64473	2.13115	2.13118
4.16	2.64147	2.13277	2.13283
4.18	2.63825	2.13438	2.13444
4.2	2.63508	2.13598	2.13601
4.22	2.6319	2.13758	2.13759
4.24	2.62874	2.13915	2.13917
4.26	2.62565	2.14072	2.14071
4.28	2.62253	2.14228	2.14226
4.3	2.61948	2.14382	2.14377
4.32	2.61651	2.1453	2.14527
4.34	2.61352	2.14679	2.14676
4.36	2.61056	2.14828	2.14823
4.38	2.60761	2.14977	2.1497
4.4	2.60471	2.15122	2.15115
4.42	2.60181	2.15266	2.1526
4.44	2.59895	2.15408	2.15404
4.46	2.59614	2.15548	2.15545
4.48	2.59333	2.15687	2.15687
4.5	2.59056	2.15827	2.15825
4.52	2.58782	2.15965	2.15961
4.54	2.58509	2.16101	2.16097
4.56	2.5824	2.16235	2.16233
4.58	2.57974	2.16368	2.16365
4.6	2.57709	2.16501	2.16497
4.62	2.57446	2.16632	2.1663
4.64	2.5719	2.1676	2.16757
4.66	2.56934	2.16889	2.16884
4.68	2.56681	2.17016	2.1701
4.7	2.56432	2.17141	2.17134
4.72	2.56183	2.17266	2.17259
4.74	2.55938	2.17389	2.17381
4.76	2.55695	2.1751	2.17503
4.78	2.55453	2.1763	2.17625
4.8	2.55212	2.1775	2.17745
4.82	2.54972	2.1787	2.17865
4.84	2.54735	2.17988	2.17984
4.86	2.54504	2.18102	2.18101
4.88	2.54274	2.18216	2.18217
4.9	2.54047	2.1833	2.1833
4.92	2.53821	2.18443	2.18443
4.94	2.53595	2.18557	2.18556
4.96	2.53373	2.18668	2.18666
4.98	2.53154	2.18778	2.18775
5	2.52933	2.1889	2.18885
5.02	2.52717	2.18999	2.18992
5.04	2.52501	2.19107	2.191
5.06	2.52288	2.19214	2.19205
5.08	2.52076	2.19318	2.19314
5.1	2.51868	2.19422	2.19417
5.12	2.51662	2.19525	2.19521
5.14	2.51459	2.19627	2.19622
5.16	2.51254	2.19729	2.19724
5.18	2.51056	2.19826	2.19825
5.2	2.5086	2.19923	2.19924
5.22	2.50666	2.2002	2.20021
5.24	2.50472	2.20117	2.20119
5.26	2.5028	2.20211	2.20216
5.28	2.50091	2.20307	2.20309
5.3	2.49903	2.204	2.20404
5.32	2.49718	2.20493	2.20496
5.34	2.49533	2.20587	2.20588
5.36	2.49348	2.2068	2.2068
5.38	2.49168	2.2077	2.2077
5.4	2.48987	2.2086	2.2086
5.42	2.48809	2.2095	2.20948
5.44	2.48633	2.21037	2.21037
5.46	2.48458	2.21124	2.21126
5.48	2.48285	2.21209	2.21214
5.5	2.48114	2.21295	2.21299
5.52	2.47944	2.21381	2.21383
5.54	2.47776	2.21465	2.21466
5.56	2.47608	2.2155	2.21549
5.58	2.47443	2.21632	2.21632
5.6	2.4728	2.21715	2.21713
5.62	2.4712	2.21795	2.21792
5.64	2.46959	2.21875	2.21872
5.66	2.46801	2.21955	2.21951
5.68	2.46644	2.22034	2.22029
5.7	2.46488	2.22111	2.22108
5.72	2.46333	2.22189	2.22186
5.74	2.46181	2.22264	2.22262
5.76	2.4603	2.2234	2.22337
5.78	2.4588	2.22416	2.22412
5.8	2.45731	2.2249	2.22486
5.82	2.45584	2.22562	2.22561
5.84	2.4544	2.22634	2.22633
5.86	2.45295	2.22707	2.22705
5.88	2.45151	2.2278	2.22776
5.9	2.45009	2.2285	2.22848
5.92	2.4487	2.22919	2.22918
5.94	2.44731	2.2299	2.22986
5.96	2.44593	2.2306	2.23054
5.98	2.44457	2.23127	2.23123
6	2.44322	2.23195	2.2319
6.02	2.4419	2.2326	2.23258
6.04	2.44058	2.23326	2.23323
6.06	2.43928	2.23391	2.23388
6.08	2.438	2.23455	2.23453
6.1	2.43671	2.23519	2.23517
6.12	2.43544	2.23582	2.23581
6.14	2.43417	2.23646	2.23644
6.16	2.43293	2.23709	2.23705
6.18	2.43171	2.23769	2.23767
6.2	2.43048	2.2383	2.23829
6.22	2.42927	2.23891	2.2389
6.24	2.42806	2.23952	2.2395
6.26	2.42688	2.2401	2.24009
6.28	2.4257	2.2407	2.24067
6.3	2.42452	2.24129	2.24126
6.32	2.42336	2.24187	2.24184
6.34	2.42222	2.24244	2.24241
6.36	2.42108	2.243	2.24299
6.38	2.41995	2.24356	2.24356
6.4	2.41884	2.24412	2.24411
6.42	2.41774	2.24467	2.24466
6.44	2.41664	2.24522	2.24521
6.46	2.41556	2.24576	2.24576
6.48	2.41449	2.24629	2.24629
6.5	2.41344	2.24682	2.24681
6.52	2.41238	2.24735	2.24734
6.54	2.41135	2.24786	2.24786
6.56	2.41032	2.24838	2.24837
6.58	2.4093	2.24889	2.24889
6.6	2.40828	2.2494	2.24939
6.62	2.40729	2.2499	2.24988
6.64	2.4063	2.2504	2.25038
6.66	2.40532	2.25088	2.25087
6.68	2.40434	2.25138	2.25135
6.7	2.40339	2.25185	2.25183
6.72	2.40243	2.25233	2.25231
6.74	2.40148	2.2528	2.25279
6.76	2.40054	2.25327	2.25326
6.78	2.39961	2.25374	2.25372
6.8	2.39869	2.25421	2.25418
6.82	2.39778	2.25466	2.25464
6.84	2.39688	2.25511	2.25509
6.86	2.39598	2.25556	2.25553
6.88	2.39509	2.256	2.25598
6.9	2.39421	2.25644	2.25643
6.92	2.39335	2.25686	2.25686
6.94	2.3925	2.25728	2.25729
6.96	2.39165	2.25771	2.25771
6.98	2.3908	2.25814	2.25813
7	2.38997	2.25856	2.25854
7.02	2.38915	2.25898	2.25895
7.04	2.38833	2.25938	2.25936
7.06	2.38752	2.25979	2.25976
7.08	2.38673	2.26018	2.26017
7.1	2.38593	2.26058	2.26056
7.12	2.38514	2.26098	2.26096
7.14	2.38436	2.26138	2.26134
7.16	2.38359	2.26176	2.26172
7.18	2.38282	2.26214	2.26211
7.2	2.38205	2.26253	2.26249
7.22	2.3813	2.2629	2.26287
7.24	2.38055	2.26327	2.26325
7.26	2.37982	2.26364	2.26362
7.28	2.37909	2.264	2.26398
7.3	2.37836	2.26437	2.26434
7.32	2.37765	2.26472	2.2647
7.34	2.37694	2.26508	2.26506
7.36	2.37623	2.26543	2.26541
7.38	2.37554	2.26577	2.26576
7.4	2.37486	2.26611	2.2661
7.42	2.37417	2.26646	2.26644
7.44	2.37349	2.2668	2.26678
7.46	2.37282	2.26713	2.26712
7.48	2.37215	2.26747	2.26745
7.5	2.37148	2.2678	2.26779
7.52	2.37083	2.26812	2.26811
7.54	2.37019	2.26845	2.26843
7.56	2.36955	2.26877	2.26875
7.58	2.36891	2.26909	2.26907
7.6	2.36827	2.26941	2.26939
7.62	2.36766	2.26972	2.26969
7.64	2.36703	2.27004	2.27
7.66	2.36642	2.27035	2.27031
7.68	2.36581	2.27065	2.2706
7.7	2.36522	2.27095	2.2709
7.72	2.36463	2.27125	2.2712
7.74	2.36404	2.27154	2.27149
7.76	2.36345	2.27183	2.27179
7.78	2.36287	2.27212	2.27208
7.8	2.3623	2.2724	2.27237
7.82	2.36174	2.27268	2.27266
7.84	2.36118	2.27296	2.27294
7.86	2.36063	2.27324	2.27321
7.88	2.36007	2.27351	2.27348
7.9	2.35953	2.27379	2.27376
7.92	2.35899	2.27406	2.27402
7.94	2.35845	2.27433	2.27429
7.96	2.35792	2.27459	2.27456
7.98	2.35739	2.27486	2.27482
8	2.35687	2.27512	2.27508
8.02	2.35635	2.27538	2.27534
8.04	2.35584	2.27563	2.2756
8.06	2.35534	2.27588	2.27585
8.08	2.35484	2.27613	2.2761
8.1	2.35434	2.27638	2.27635
8.12	2.35385	2.27663	2.2766
8.14	2.35336	2.27687	2.27684
8.16	2.35288	2.27711	2.27708
8.18	2.3524	2.27735	2.27732
8.2	2.35193	2.27759	2.27755
8.22	2.35146	2.27782	2.27779
8.24	2.351	2.27805	2.27802
8.26	2.35054	2.27828	2.27825
8.28	2.3501	2.2785	2.27848
8.3	2.34965	2.27873	2.2787
8.32	2.3492	2.27895	2.27892
8.34	2.34875	2.27918	2.27914
8.36	2.34832	2.2794	2.27936
8.38	2.34788	2.27961	2.27957
8.4	2.34745	2.27983	2.27979
8.42	2.34703	2.28004	2.28
8.44	2.34661	2.28025	2.28021
8.46	2.34619	2.28046	2.28042
8.48	2.34578	2.28066	2.28063
8.5	2.34537	2.28087	2.28083
8.52	2.34496	2.28107	2.28104
8.54	2.34456	2.28127	2.28124
8.56	2.34417	2.28147	2.28144
8.58	2.34377	2.28167	2.28163
8.6	2.34338	2.28187	2.28183
8.62	2.343	2.28206	2.28201
8.64	2.34262	2.28225	2.2822
8.66	2.34224	2.28244	2.28239
8.68	2.34187	2.28262	2.28258
8.7	2.3415	2.28281	2.28277
8.72	2.34113	2.28299	2.28295
8.74	2.34077	2.28317	2.28314
8.76	2.34041	2.28335	2.28332
8.78	2.34005	2.28352	2.2835
8.8	2.3397	2.2837	2.28367
8.82	2.33934	2.28388	2.28385
8.84	2.33899	2.28405	2.28403
8.86	2.33865	2.28422	2.2842
8.88	2.33831	2.28439	2.28437
8.9	2.33797	2.28456	2.28454
8.92	2.33763	2.28473	2.28471
8.94	2.3373	2.2849	2.28488
8.96	2.33697	2.28506	2.28504
8.98	2.33664	2.28522	2.28521
9	2.33632	2.28538	2.28537
9.02	2.336	2.28554	2.28553
9.04	2.33568	2.2857	2.28569
9.06	2.33537	2.28586	2.28584
9.08	2.33505	2.28602	2.286
9.1	2.33474	2.28617	2.28615
9.12	2.33444	2.28633	2.2863
9.14	2.33414	2.28648	2.28645
9.16	2.33384	2.28663	2.28661
9.18	2.33354	2.28678	2.28675
9.2	2.33325	2.28693	2.2869
9.22	2.33296	2.28707	2.28705
9.24	2.33267	2.28721	2.28719
9.26	2.33238	2.28736	2.28733
9.28	2.3321	2.2875	2.28748
9.3	2.33182	2.28764	2.28761
9.32	2.33154	2.28778	2.28775
9.34	2.33127	2.28792	2.28789
9.36	2.33099	2.28805	2.28802
9.38	2.33073	2.28819	2.28816
9.4	2.33046	2.28832	2.28829
9.42	2.3302	2.28845	2.28842
9.44	2.32994	2.28859	2.28855
9.46	2.32968	2.28871	2.28868
9.48	2.32942	2.28884	2.28881
9.5	2.32917	2.28897	2.28894
9.52	2.32891	2.2891	2.28906
9.54	2.32866	2.28922	2.28919
9.56	2.32841	2.28935	2.28931
9.58	2.32816	2.28947	2.28944
9.6	2.32792	2.2896	2.28956
9.62	2.32768	2.28972	2.28968
9.64	2.32744	2.28983	2.28979
9.66	2.32721	2.28995	2.28991
9.68	2.32698	2.29006	2.29003
9.7	2.32675	2.29018	2.29015
9.72	2.32652	2.29029	2.29026
9.74	2.32629	2.29041	2.29038
9.76	2.32606	2.29052	2.29049
9.78	2.32584	2.29063	2.2906
9.8	2.32562	2.29074	2.29071
9.82	2.3254	2.29085	2.29082
9.84	2.32518	2.29096	2.29093
9.86	2.32496	2.29107	2.29104
9.88	2.32475	2.29118	2.29114
9.9	2.32454	2.29128	2.29125
9.92	2.32433	2.29138	2.29135
9.94	2.32413	2.29149	2.29146
9.96	2.32392	2.29159	2.29156
9.98	2.32372	2.29169	2.29166
10	2.32352	2.29179	2.29176
10.02	2.32332	2.29189	2.29186
10.04	2.32312	2.29199	2.29196
10.06	2.32292	2.29209	2.29206
10.08	2.32273	2.29219	2.29215
10.1	2.32254	2.29228	2.29225
10.12	2.32236	2.29237	2.29234
10.14	2.32217	2.29247	2.29244
10.16	2.32198	2.29256	2.29253
10.18	2.3218	2.29265	2.29262
10.2	2.32162	2.29274	2.29271
10.22	2.32143	2.29283	2.29281
10.24	2.32126	2.29292	2.29289
10.26	2.32108	2.29301	2.29298
10.28	2.3209	2.2931	2.29307
10.3	2.32072	2.29319	2.29316
10.32	2.32055	2.29327	2.29325
10.34	2.32038	2.29336	2.29333
10.36	2.32021	2.29344	2.29342
10.38	2.32005	2.29353	2.2935
10.4	2.31988	2.29361	2.29359
10.42	2.31971	2.29369	2.29367
10.44	2.31955	2.29378	2.29375
10.46	2.31938	2.29386	2.29383
10.48	2.31922	2.29394	2.29391
10.5	2.31907	2.29402	2.29399
10.52	2.31891	2.2941	2.29407
10.54	2.31875	2.29417	2.29415
10.56	2.3186	2.29425	2.29422
10.58	2.31845	2.29433	2.2943
10.6	2.31829	2.2944	2.29438
10.62	2.31814	2.29448	2.29445
10.64	2.318	2.29455	2.29452
10.66	2.31785	2.29463	2.2946
10.68	2.3177	2.2947	2.29467
10.7	2.31756	2.29477	2.29474
10.72	2.31741	2.29484	2.29481
10.74	2.31727	2.29491	2.29488
10.76	2.31713	2.29498	2.29495
10.78	2.317	2.29505	2.29502
10.8	2.31686	2.29512	2.29509
10.82	2.31672	2.29519	2.29516
10.84	2.31659	2.29526	2.29523
10.86	2.31645	2.29533	2.29529
10.88	2.31632	2.29539	2.29536
10.9	2.31619	2.29546	2.29543
10.92	2.31606	2.29552	2.29549
10.94	2.31593	2.29559	2.29556
10.96	2.3158	2.29565	2.29562
10.98	2.31567	2.29572	2.29568
11	2.31555	2.29578	2.29575
11.02	2.31542	2.29584	2.29581
11.04	2.3153	2.2959	2.29587
11.06	2.31518	2.29596	2.29593
11.08	2.31506	2.29602	2.29599
11.1	2.31494	2.29608	2.29605
11.12	2.31482	2.29614	2.29611
11.14	2.31471	2.2962	2.29617
11.16	2.31459	2.29626	2.29623
11.18	2.31447	2.29631	2.29629
11.2	2.31436	2.29637	2.29634
11.22	2.31425	2.29642	2.2964
11.24	2.31413	2.29648	2.29646
11.26	2.31402	2.29654	2.29651
11.28	2.31391	2.29659	2.29657
11.3	2.3138	2.29664	2.29662
11.32	2.3137	2.2967	2.29668
11.34	2.31359	2.29675	2.29673
11.36	2.31349	2.2968	2.29679
11.38	2.31338	2.29685	2.29684
11.4	2.31328	2.2969	2.29689
11.42	2.31318	2.29695	2.29694
11.44	2.31307	2.29701	2.29699
11.46	2.31297	2.29706	2.29704
11.48	2.31287	2.29711	2.29709
11.5	2.31278	2.29715	2.29714
11.52	2.31268	2.2972	2.29719
11.54	2.31258	2.29725	2.29724
11.56	2.31248	2.2973	2.29729
11.58	2.31239	2.29735	2.29734
11.6	2.3123	2.29739	2.29738
11.62	2.3122	2.29744	2.29743
11.64	2.31211	2.29749	2.29748
11.66	2.31202	2.29753	2.29752
11.68	2.31193	2.29758	2.29757
11.7	2.31184	2.29762	2.29761
11.72	2.31175	2.29766	2.29766
11.74	2.31166	2.29771	2.2977
11.76	2.31157	2.29775	2.29775
11.78	2.31149	2.29779	2.29779
11.8	2.3114	2.29784	2.29783
11.82	2.31132	2.29788	2.29787
11.84	2.31123	2.29792	2.29792
11.86	2.31115	2.29796	2.29796
11.88	2.31107	2.298	2.298
11.9	2.31099	2.29805	2.29804
11.92	2.3109	2.29809	2.29808
11.94	2.31082	2.29812	2.29812
11.96	2.31075	2.29816	2.29816
11.98	2.31067	2.2982	2.2982
12	2.31059	2.29824	2.29824
12.02	2.31051	2.29828	2.29828
12.04	2.31044	2.29832	2.29832
12.06	2.31036	2.29836	2.29835
12.08	2.31028	2.2984	2.29839
12.1	2.31021	2.29843	2.29843
12.12	2.31014	2.29847	2.29847
12.14	2.31006	2.29851	2.2985
12.16	2.30999	2.29854	2.29854
12.18	2.30992	2.29858	2.29858
12.2	2.30985	2.29861	2.29861
12.22	2.30978	2.29865	2.29865
12.24	2.30971	2.29868	2.29868
12.26	2.30964	2.29872	2.29872
12.28	2.30957	2.29875	2.29875
12.3	2.3095	2.29879	2.29878
12.32	2.30943	2.29882	2.29882
12.34	2.30937	2.29885	2.29885
12.36	2.3093	2.29889	2.29888
12.38	2.30924	2.29892	2.29892
12.4	2.30917	2.29895	2.29895
12.42	2.30911	2.29898	2.29898
12.44	2.30905	2.29901	2.29901
12.46	2.30898	2.29904	2.29904
12.48	2.30892	2.29908	2.29907
12.5	2.30886	2.29911	2.29911
12.52	2.3088	2.29914	2.29914
12.54	2.30874	2.29917	2.29917
12.56	2.30868	2.2992	2.2992
12.58	2.30862	2.29923	2.29923
12.6	2.30856	2.29926	2.29926
12.62	2.3085	2.29928	2.29929
12.64	2.30844	2.29931	2.29931
12.66	2.30839	2.29934	2.29934
12.68	2.30833	2.29937	2.29937
12.7	2.30827	2.2994	2.2994
12.72	2.30822	2.29943	2.29943
12.74	2.30816	2.29945	2.29946
12.76	2.30811	2.29948	2.29948
12.78	2.30805	2.29951	2.29951
12.8	2.308	2.29953	2.29954
12.82	2.30795	2.29956	2.29956
12.84	2.3079	2.29959	2.29959
12.86	2.30784	2.29961	2.29962
12.88	2.30779	2.29964	2.29964
12.9	2.30774	2.29966	2.29967
12.92	2.30769	2.29969	2.29969
12.94	2.30764	2.29971	2.29972
12.96	2.30759	2.29974	2.29974
12.98	2.30754	2.29976	2.29977
13	2.30749	2.29979	2.29979
13.02	2.30745	2.29981	2.29982
13.04	2.3074	2.29983	2.29984
13.06	2.30735	2.29986	2.29986
13.08	2.3073	2.29988	2.29989
13.1	2.30726	2.2999	2.29991
13.12	2.30721	2.29993	2.29993
13.14	2.30717	2.29995	2.29996
13.16	2.30712	2.29997	2.29998
13.18	2.30708	2.29999	2.3
13.2	2.30703	2.30002	2.30002
13.22	2.30699	2.30004	2.30004
13.24	2.30695	2.30006	2.30007
13.26	2.3069	2.30008	2.30009
13.28	2.30686	2.3001	2.30011
13.3	2.30682	2.30013	2.30013
13.32	2.30678	2.30015	2.30015
13.34	2.30673	2.30017	2.30017
13.36	2.30669	2.30019	2.30019
13.38	2.30665	2.30021	2.30021
13.4	2.30661	2.30023	2.30023
13.42	2.30657	2.30025	2.30025
13.44	2.30653	2.30027	2.30027
13.46	2.30649	2.30029	2.30029
13.48	2.30645	2.30031	2.30031
13.5	2.30642	2.30033	2.30033
13.52	2.30638	2.30034	2.30035
13.54	2.30634	2.30036	2.30037
13.56	2.3063	2.30038	2.30039
13.58	2.30627	2.3004	2.30041
13.6	2.30623	2.30042	2.30042
13.62	2.30619	2.30044	2.30044
13.64	2.30616	2.30046	2.30046
13.66	2.30612	2.30047	2.30048
13.68	2.30608	2.30049	2.3005
13.7	2.30605	2.30051	2.30051
13.72	2.30601	2.30053	2.30053
13.74	2.30598	2.30054	2.30055
13.76	2.30595	2.30056	2.30057
13.78	2.30591	2.30058	2.30058
13.8	2.30588	2.30059	2.3006
13.82	2.30585	2.30061	2.30062
13.84	2.30581	2.30063	2.30063
13.86	2.30578	2.30064	2.30065
13.88	2.30575	2.30066	2.30066
13.9	2.30572	2.30067	2.30068
13.92	2.30569	2.30069	2.3007
13.94	2.30565	2.30071	2.30071
13.96	2.30562	2.30072	2.30073
13.98	2.30559	2.30074	2.30074
14	2.30556	2.30075	2.30076
14.02	2.30553	2.30077	2.30077
14.04	2.3055	2.30078	2.30079
14.06	2.30547	2.3008	2.3008
14.08	2.30544	2.30081	2.30082
14.1	2.30542	2.30083	2.30083
14.12	2.30539	2.30084	2.30084
14.14	2.30536	2.30086	2.30086
14.16	2.30533	2.30087	2.30087
14.18	2.3053	2.30088	2.30089
14.2	2.30527	2.3009	2.3009
14.22	2.30525	2.30091	2.30091
14.24	2.30522	2.30092	2.30093
14.26	2.30519	2.30094	2.30094
14.28	2.30517	2.30095	2.30095
14.3	2.30514	2.30096	2.30097
14.32	2.30512	2.30098	2.30098
14.34	2.30509	2.30099	2.30099
14.36	2.30506	2.301	2.30101
14.38	2.30504	2.30102	2.30102
14.4	2.30501	2.30103	2.30103
14.42	2.30499	2.30104	2.30104
14.44	2.30496	2.30105	2.30105
14.46	2.30494	2.30107	2.30107
14.48	2.30492	2.30108	2.30108
14.5	2.30489	2.30109	2.30109
14.52	2.30487	2.3011	2.3011
14.54	2.30484	2.30111	2.30111
14.56	2.30482	2.30112	2.30113
14.58	2.3048	2.30114	2.30114
14.6	2.30478	2.30115	2.30115
14.62	2.30475	2.30116	2.30116
14.64	2.30473	2.30117	2.30117
14.66	2.30471	2.30118	2.30118
14.68	2.30469	2.30119	2.30119
