# N_v = 30, N_col = 250000
# time	 M_xx	 M_yy	 M_zz
14.7	2.30467	2.3012	2.30121
14.72	2.30464	2.30121	2.30122
14.74	2.30462	2.30122	2.30123
14.76	2.3046	2.30123	2.30124
14.78	2.30458	2.30124	2.30125
14.8	2.30456	2.30125	2.30126
14.82	2.30454	2.30126	2.30127
14.84	2.30452	2.30127	2.30128
14.86	2.3045	2.30128	2.30129
14.88	2.30448	2.30129	2.3013
14.9	2.30446	2.3013	2.30131
14.92	2.30444	2.30131	2.30132
14.94	2.30442	2.30132	2.30133
14.96	2.3044	2.30133	2.30134
14.98	2.30438	2.30134	2.30135
15	2.30436	2.30135	2.30136
15.02	2.30434	2.30136	2.30137
15.04	2.30432	2.30137	2.30138
15.06	2.30431	2.30138	2.30139
15.08	2.30429	2.30139	2.30139
15.1	2.30427	2.3014	2.3014
15.12	2.30425	2.30141	2.30141
15.14	2.30423	2.30142	2.30142
15.16	2.30422	2.30143	2.30143
15.18	2.3042	2.30144	2.30144
15.2	2.30418	2.30144	2.30145
15.22	2.30416	2.30145	2.30146
15.24	2.30415	2.30146	2.30146
15.26	2.30413	2.30147	2.30147
15.28	2.30411	2.30148	2.30148
15.3	2.3041	2.30149	2.30149
15.32	2.30408	2.30149	2.3015
15.34	2.30407	2.3015	2.30151
15.36	2.30405	2.30151	2.30151
15.38	2.30403	2.30152	2.30152
15.4	2.30402	2.30153	2.30153
15.42	2.304	2.30153	2.30154
15.44	2.30399	2.30154	2.30155
15.46	2.30397	2.30155	2.30155
15.48	2.30396	2.30156	2.30156
15.5	2.30394	2.30156	2.30157
15.52	2.30393	2.30157	2.30158
15.54	2.30391	2.30158	2.30158
15.56	2.3039	2.30159	2.30159
15.58	2.30388	2.30159	2.3016
15.6	2.30387	2.3016	2.3016
15.62	2.30385	2.30161	2.30161
15.64	2.30384	2.30161	2.30162
15.66	2.30383	2.30162	2.30163
15.68	2.30381	2.30163	2.30163
15.7	2.3038	2.30163	2.30164
15.72	2.30379	2.30164	2.30165
15.74	2.30377	2.30165	2.30165
15.76	2.30376	2.30165	2.30166
15.78	2.30375	2.30166	2.30167
15.8	2.30373	2.30167	2.30167
15.82	2.30372	2.30167	2.30168
15.84	2.30371	2.30168	2.30168
15.86	2.30369	2.30169	2.30169
15.88	2.30368	2.30169	2.3017
15.9	2.30367	2.3017	2.3017
15.92	2.30366	2.30171	2.30171
15.94	2.30364	2.30171	2.30172
15.96	2.30363	2.30172	2.30172
15.98	2.30362	2.30172	2.30173
16	2.30361	2.30173	2.30173
16.02	2.3036	2.30174	2.30174
16.04	2.30359	2.30174	2.30175
16.06	2.30357	2.30175	2.30175
16.08	2.30356	2.30175	2.30176
16.1	2.30355	2.30176	2.30176
16.12	2.30354	2.30176	2.30177
16.14	2.30353	2.30177	2.30177
16.16	2.30352	2.30178	2.30178
16.18	2.30351	2.30178	2.30178
16.2	2.3035	2.30179	2.30179
16.22	2.30349	2.30179	2.30179
16.24	2.30348	2.3018	2.3018
16.26	2.30347	2.3018	2.3018
16.28	2.30345	2.30181	2.30181
16.3	2.30344	2.30181	2.30182
16.32	2.30343	2.30182	2.30182
16.34	2.30342	2.30182	2.30183
16.36	2.30341	2.30183	2.30183
16.38	2.3034	2.30183	2.30184
16.4	2.30339	2.30184	2.30184
16.42	2.30339	2.30184	2.30184
16.44	2.30338	2.30185	2.30185
16.46	2.30337	2.30185	2.30185
16.48	2.30336	2.30186	2.30186
16.5	2.30335	2.30186	2.30186
16.52	2.30334	2.30187	2.30187
16.54	2.30333	2.30187	2.30187
16.56	2.30332	2.30188	2.30188
16.58	2.30331	2.30188	2.30188
16.6	2.3033	2.30188	2.30189
16.62	2.30329	2.30189	2.30189
16.64	2.30328	2.30189	2.3019
16.66	2.30328	2.3019	2.3019
16.68	2.30327	2.3019	2.3019
16.7	2.30326	2.30191	2.30191
16.72	2.30325	2.30191	2.30191
16.74	2.30324	2.30191	2.30192
16.76	2.30323	2.30192	2.30192
16.78	2.30323	2.30192	2.30192
16.8	2.30322	2.30193	2.30193
16.82	2.30321	2.30193	2.30193
16.84	2.3032	2.30193	2.30194
16.86	2.30319	2.30194	2.30194
16.88	2.30319	2.30194	2.30194
16.9	2.30318	2.30195	2.30195
16.92	2.30317	2.30195	2.30195
16.94	2.30316	2.30195	2.30196
16.96	2.30315	2.30196	2.30196
16.98	2.30315	2.30196	2.30196
17	2.30314	2.30197	2.30197
17.02	2.30313	2.30197	2.30197
17.04	2.30313	2.30197	2.30197
17.06	2.30312	2.30198	2.30198
17.08	2.30311	2.30198	2.30198
17.1	2.3031	2.30198	2.30199
17.12	2.3031	2.30199	2.30199
17.14	2.30309	2.30199	2.30199
17.16	2.30308	2.30199	2.302
17.18	2.30308	2.302	2.302
17.2	2.30307	2.302	2.302
17.22	2.30306	2.302	2.30201
17.24	2.30306	2.30201	2.30201
17.26	2.30305	2.30201	2.30201
17.28	2.30304	2.30201	2.30202
17.3	2.30304	2.30202	2.30202
17.32	2.30303	2.30202	2.30202
17.34	2.30302	2.30202	2.30202
17.36	2.30302	2.30203	2.30203
17.38	2.30301	2.30203	2.30203
17.4	2.30301	2.30203	2.30203
17.42	2.303	2.30204	2.30204
17.44	2.30299	2.30204	2.30204
17.46	2.30299	2.30204	2.30204
17.48	2.30298	2.30204	2.30205
17.5	2.30298	2.30205	2.30205
17.52	2.30297	2.30205	2.30205
17.54	2.30296	2.30205	2.30205
17.56	2.30296	2.30206	2.30206
17.58	2.30295	2.30206	2.30206
17.6	2.30295	2.30206	2.30206
17.62	2.30294	2.30206	2.30207
17.64	2.30294	2.30207	2.30207
17.66	2.30293	2.30207	2.30207
17.68	2.30293	2.30207	2.30207
17.7	2.30292	2.30207	2.30208
17.72	2.30292	2.30208	2.30208
17.74	2.30291	2.30208	2.30208
17.76	2.30291	2.30208	2.30208
17.78	2.3029	2.30208	2.30209
17.8	2.3029	2.30209	2.30209
17.82	2.30289	2.30209	2.30209
17.84	2.30289	2.30209	2.30209
17.86	2.30288	2.30209	2.3021
17.88	2.30288	2.3021	2.3021
17.9	2.30287	2.3021	2.3021
17.92	2.30287	2.3021	2.3021
17.94	2.30286	2.3021	2.30211
17.96	2.30286	2.30211	2.30211
17.98	2.30285	2.30211	2.30211
18	2.30285	2.30211	2.30211
18.02	2.30284	2.30211	2.30212
18.04	2.30284	2.30212	2.30212
18.06	2.30283	2.30212	2.30212
18.08	2.30283	2.30212	2.30212
18.1	2.30282	2.30212	2.30213
18.12	2.30282	2.30212	2.30213
18.14	2.30282	2.30213	2.30213
18.16	2.30281	2.30213	2.30213
18.18	2.30281	2.30213	2.30213
18.2	2.3028	2.30213	2.30214
18.22	2.3028	2.30214	2.30214
18.24	2.30279	2.30214	2.30214
18.26	2.30279	2.30214	2.30214
18.28	2.30279	2.30214	2.30214
18.3	2.30278	2.30214	2.30215
18.32	2.30278	2.30215	2.30215
18.34	2.30277	2.30215	2.30215
18.36	2.30277	2.30215	2.30215
18.38	2.30277	2.30215	2.30215
18.4	2.30276	2.30215	2.30216
18.42	2.30276	2.30216	2.30216
18.44	2.30276	2.30216	2.30216
18.46	2.30275	2.30216	2.30216
18.48	2.30275	2.30216	2.30216
18.5	2.30274	2.30216	2.30217
18.52	2.30274	2.30216	2.30217
18.54	2.30274	2.30217	2.30217
18.56	2.30273	2.30217	2.30217
18.58	2.30273	2.30217	2.30217
18.6	2.30273	2.30217	2.30217
18.62	2.30272	2.30217	2.30218
18.64	2.30272	2.30218	2.30218
18.66	2.30272	2.30218	2.30218
18.68	2.30271	2.30218	2.30218
18.7	2.30271	2.30218	2.30218
18.72	2.30271	2.30218	2.30218
18.74	2.3027	2.30218	2.30219
18.76	2.3027	2.30219	2.30219
18.78	2.3027	2.30219	2.30219
18.8	2.30269	2.30219	2.30219
18.82	2.30269	2.30219	2.30219
18.84	2.30269	2.30219	2.30219
18.86	2.30268	2.30219	2.30219
18.88	2.30268	2.30219	2.3022
18.9	2.30268	2.3022	2.3022
18.92	2.30268	2.3022	2.3022
18.94	2.30267	2.3022	2.3022
18.96	2.30267	2.3022	2.3022
18.98	2.30267	2.3022	2.3022
19	2.30266	2.3022	2.30221
19.02	2.30266	2.30221	2.30221
19.04	2.30266	2.30221	2.30221
19.06	2.30265	2.30221	2.30221
19.08	2.30265	2.30221	2.30221
19.1	2.30265	2.30221	2.30221
19.12	2.30265	2.30221	2.30221
19.14	2.30264	2.30221	2.30221
19.16	2.30264	2.30221	2.30222
19.18	2.30264	2.30222	2.30222
19.2	2.30264	2.30222	2.30222
19.22	2.30263	2.30222	2.30222
19.24	2.30263	2.30222	2.30222
19.26	2.30263	2.30222	2.30222
19.28	2.30263	2.30222	2.30222
19.3	2.30262	2.30222	2.30223
19.32	2.30262	2.30223	2.30223
19.34	2.30262	2.30223	2.30223
19.36	2.30262	2.30223	2.30223
19.38	2.30261	2.30223	2.30223
19.4	2.30261	2.30223	2.30223
19.42	2.30261	2.30223	2.30223
19.44	2.30261	2.30223	2.30223
19.46	2.3026	2.30223	2.30223
19.48	2.3026	2.30223	2.30224
19.5	2.3026	2.30224	2.30224
19.52	2.3026	2.30224	2.30224
19.54	2.3026	2.30224	2.30224
19.56	2.30259	2.30224	2.30224
19.58	2.30259	2.30224	2.30224
19.6	2.30259	2.30224	2.30224
19.62	2.30259	2.30224	2.30224
19.64	2.30258	2.30224	2.30224
19.66	2.30258	2.30224	2.30225
19.68	2.30258	2.30225	2.30225
19.7	2.30258	2.30225	2.30225
19.72	2.30258	2.30225	2.30225
19.74	2.30257	2.30225	2.30225
19.76	2.30257	2.30225	2.30225
19.78	2.30257	2.30225	2.30225
19.8	2.30257	2.30225	2.30225
19.82	2.30257	2.30225	2.30225
19.84	2.30256	2.30225	2.30225
19.86	2.30256	2.30225	2.30226
19.88	2.30256	2.30226	2.30226
19.9	2.30256	2.30226	2.30226
19.92	2.30256	2.30226	2.30226
19.94	2.30255	2.30226	2.30226
19.96	2.30255	2.30226	2.30226
19.98	2.30255	2.30226	2.30226
20	2.30255	2.30226	2.30226
