# v_cut = 5, tau = 0.02
#1) N = 10, n_col = 1000
#2) N = 10, n_col = 5000
#3) N = 10, n_col = 10000
#4) N = 10, n_col = 25000
#5) N = 30, n_col = 250000
0.0	4.95689	4.95689	4.95689	4.95689	4.93943
0.02	4.94329	4.93427	4.93536	4.93018	4.91254
0.04	4.88396	4.90928	4.90363	4.90477	4.88621
0.06	4.85708	4.88297	4.88118	4.87901	4.85985
0.08	4.83452	4.86008	4.85701	4.85241	4.83454
0.1	4.8101	4.83943	4.83775	4.82866	4.80891
0.12	4.79103	4.81287	4.81165	4.80326	4.78355
0.14	4.77244	4.78659	4.78529	4.77793	4.75837
0.16	4.75597	4.76312	4.76403	4.75249	4.73314
0.18	4.73613	4.74144	4.73884	4.72868	4.70848
0.2	4.71775	4.72039	4.71352	4.70455	4.6838
0.22	4.70215	4.69684	4.68965	4.68123	4.66001
0.24	4.68382	4.66871	4.66587	4.65503	4.63609
0.26	4.66198	4.64252	4.64197	4.63228	4.61235
0.28	4.63569	4.62051	4.61675	4.60777	4.58929
0.3	4.57931	4.59192	4.596	4.58289	4.56625
0.32	4.56009	4.5685	4.5742	4.55916	4.54342
0.34	4.54445	4.54457	4.54902	4.53533	4.52108
0.36	4.53463	4.52136	4.52691	4.51259	4.49876
0.38	4.51552	4.4992	4.5043	4.48849	4.47667
0.4	4.49678	4.47708	4.48271	4.46698	4.45475
0.42	4.47378	4.4565	4.46279	4.44602	4.43274
0.44	4.45729	4.43158	4.44327	4.4242	4.41141
0.46	4.42844	4.41138	4.42491	4.40171	4.39045
0.48	4.39467	4.38558	4.40651	4.37963	4.3692
0.5	4.36654	4.36442	4.38863	4.35829	4.34829
0.52	4.3554	4.34219	4.3626	4.33829	4.32765
0.54	4.33805	4.3225	4.3367	4.31684	4.30724
0.56	4.29959	4.3002	4.31705	4.29731	4.28702
0.58	4.28153	4.28237	4.28688	4.27688	4.267
0.6	4.27003	4.2645	4.26613	4.25731	4.24711
0.62	4.2502	4.24244	4.24773	4.23766	4.22717
0.64	4.2403	4.22361	4.23032	4.21878	4.20792
0.66	4.20997	4.20328	4.20665	4.19975	4.18873
0.68	4.1861	4.18326	4.18952	4.18031	4.16981
0.7	4.16927	4.16279	4.17045	4.16351	4.1514
0.72	4.162	4.14478	4.15081	4.14472	4.13304
0.74	4.14736	4.12736	4.13098	4.12729	4.11461
0.76	4.13586	4.10986	4.11118	4.10847	4.09641
0.78	4.12125	4.0947	4.0958	4.09129	4.07834
0.8	4.10455	4.07921	4.07845	4.07251	4.06061
0.82	4.08876	4.05855	4.06149	4.05436	4.04293
0.84	4.06893	4.04329	4.0466	4.03664	4.02583
0.86	4.05421	4.02779	4.02926	4.01848	4.00874
0.88	4.03772	4.01234	4.00995	4.00203	3.9918
0.9	4.01591	3.99444	3.99393	3.98479	3.97511
0.92	3.99849	3.97901	3.97449	3.96795	3.95847
0.94	3.98298	3.96304	3.9594	3.95031	3.94229
0.96	3.96873	3.94831	3.94433	3.93325	3.92599
0.98	3.95875	3.92917	3.93001	3.91751	3.90998
1	3.9347	3.91362	3.9128	3.90135	3.89394
1.02	3.91843	3.89903	3.89596	3.8862	3.87823
1.04	3.90874	3.88235	3.8797	3.86919	3.8627
1.06	3.8905	3.86819	3.86618	3.85292	3.84721
1.08	3.869	3.85369	3.85137	3.83748	3.83194
1.1	3.85465	3.83767	3.83349	3.82243	3.817
