# Max change (t), [t] - время свободного пробега
14.9	3.91076	1.46459	1.46491
15	3.90577	1.4671	1.4674
15.1	3.90078	1.46959	1.4699
15.2	3.89583	1.47208	1.47236
15.3	3.8909	1.47454	1.47482
15.4	3.886	1.477	1.47727
15.5	3.8811	1.47946	1.47971
15.6	3.87622	1.4819	1.48214
15.7	3.87134	1.48435	1.48458
15.8	3.86646	1.48678	1.48702
15.9	3.86161	1.48921	1.48944
16	3.85679	1.49163	1.49186
16.1	3.85197	1.49404	1.49426
16.2	3.84719	1.49644	1.49664
16.3	3.84241	1.49884	1.49902
16.4	3.83765	1.5012	1.50142
16.5	3.83289	1.50358	1.50379
16.6	3.82813	1.50595	1.50618
16.7	3.82341	1.50832	1.50853
16.8	3.81868	1.51069	1.5109
16.9	3.81399	1.51303	1.51325
17	3.8093	1.51537	1.5156
17.1	3.80462	1.51771	1.51794
17.2	3.79999	1.52004	1.52024
17.3	3.79532	1.52237	1.52257
17.4	3.79071	1.52468	1.52488
17.5	3.78613	1.52697	1.52717
17.6	3.78156	1.52926	1.52944
17.7	3.77698	1.53156	1.53173
17.8	3.77241	1.53385	1.53401
17.9	3.76784	1.53612	1.53631
18	3.76333	1.53839	1.53855
18.1	3.7588	1.54066	1.54081
18.2	3.75429	1.54291	1.54306
18.3	3.74979	1.54517	1.54531
18.4	3.74531	1.54741	1.54755
18.5	3.74085	1.54963	1.54978
18.6	3.73639	1.55185	1.55203
18.7	3.73194	1.55407	1.55425
18.8	3.72754	1.55627	1.55645
18.9	3.72312	1.55848	1.55867
19	3.71872	1.56069	1.56086
19.1	3.71436	1.56287	1.56303
19.2	3.71	1.56506	1.5652
19.3	3.70562	1.56725	1.5674
19.4	3.7013	1.56942	1.56955
19.5	3.69699	1.57158	1.5717
19.6	3.69267	1.57374	1.57386
19.7	3.68835	1.5759	1.57602
19.8	3.68404	1.57806	1.57817
19.9	3.67975	1.5802	1.58031
20	3.67551	1.58234	1.58242
20.1	3.67127	1.58446	1.58453
20.2	3.66703	1.58658	1.58666
20.3	3.66281	1.58869	1.58877
20.4	3.65861	1.59078	1.59087
20.5	3.65443	1.59287	1.59297
20.6	3.65024	1.59496	1.59507
20.7	3.64609	1.59705	1.59713
20.8	3.64193	1.59913	1.59921
20.9	3.63777	1.60121	1.60128
21	3.63364	1.60327	1.60335
21.1	3.62953	1.60533	1.60541
21.2	3.62543	1.60738	1.60745
21.3	3.62135	1.60943	1.60949
21.4	3.61728	1.61147	1.61152
21.5	3.61324	1.61349	1.61353
21.6	3.60917	1.61553	1.61556
21.7	3.60512	1.61756	1.61758
21.8	3.6011	1.61958	1.61958
21.9	3.59709	1.62159	1.62158
22	3.5931	1.62358	1.62358
22.1	3.58912	1.62558	1.62557
22.2	3.58516	1.62756	1.62755
22.3	3.5812	1.62953	1.62954
22.4	3.57725	1.6315	1.63151
22.5	3.5733	1.63347	1.63349
22.6	3.56937	1.63543	1.63546
22.7	3.56546	1.63738	1.63742
22.8	3.56158	1.63933	1.63936
22.9	3.55769	1.64128	1.6413
23	3.55383	1.64321	1.64323
23.1	3.54996	1.64515	1.64516
23.2	3.5461	1.64708	1.64709
23.3	3.54225	1.649	1.64901
23.4	3.53844	1.65092	1.65091
23.5	3.53463	1.65282	1.65282
23.6	3.53081	1.65474	1.65472
23.7	3.52702	1.65662	1.65662
23.8	3.52326	1.65851	1.6585
23.9	3.51949	1.66039	1.66039
24	3.51574	1.66227	1.66226
24.1	3.51199	1.66414	1.66414
24.2	3.50827	1.666	1.66599
24.3	3.50454	1.66786	1.66786
24.4	3.50084	1.66971	1.66971
24.5	3.49716	1.67156	1.67155
24.6	3.4935	1.6734	1.67337
24.7	3.48981	1.67524	1.67521
24.8	3.48616	1.67707	1.67704
24.9	3.48253	1.67889	1.67885
25	3.47889	1.6807	1.68067
25.1	3.47528	1.6825	1.68248
25.2	3.47167	1.68431	1.68429
25.3	3.46805	1.68612	1.6861
25.4	3.46446	1.6879	1.68791
25.5	3.46089	1.6897	1.68968
25.6	3.45731	1.69149	1.69147
25.7	3.45375	1.69327	1.69325
25.8	3.4502	1.69504	1.69502
25.9	3.44664	1.69682	1.6968
26	3.44313	1.69858	1.69855
26.1	3.43961	1.70034	1.70032
26.2	3.43612	1.70209	1.70205
26.3	3.43262	1.70384	1.70381
26.4	3.42914	1.70558	1.70555
26.5	3.42568	1.70731	1.70728
26.6	3.42222	1.70903	1.70901
26.7	3.41878	1.71075	1.71073
26.8	3.41534	1.71247	1.71245
26.9	3.41193	1.71418	1.71416
27	3.40852	1.71589	1.71586
27.1	3.40511	1.71759	1.71757
27.2	3.40172	1.71929	1.71926
27.3	3.39833	1.72099	1.72095
27.4	3.39495	1.72268	1.72264
27.5	3.39159	1.72437	1.72431
27.6	3.38825	1.72604	1.72597
27.7	3.3849	1.72771	1.72765
27.8	3.38157	1.72937	1.72933
27.9	3.37823	1.73104	1.731
28	3.37493	1.73269	1.73265
28.1	3.37163	1.73434	1.7343
28.2	3.36834	1.73598	1.73594
28.3	3.36508	1.73762	1.73756
28.4	3.36182	1.73925	1.7392
28.5	3.35855	1.74088	1.74083
28.6	3.3553	1.7425	1.74246
28.7	3.35206	1.74412	1.74408
28.8	3.34884	1.74574	1.74569
28.9	3.34563	1.74734	1.7473
29	3.3424	1.74895	1.74892
29.1	3.3392	1.75055	1.75052
29.2	3.33601	1.75213	1.75212
29.3	3.33284	1.75372	1.7537
29.4	3.32968	1.7553	1.75529
29.5	3.32651	1.75689	1.75687
29.6	3.32336	1.75846	1.75844
29.7	3.32022	1.76004	1.76001
29.8	3.31709	1.7616	1.76158
29.9	3.31397	1.76316	1.76314
30	3.31086	1.76471	1.7647
